順位,ID,ベンダー,CPU,価格,性能目安,コスパ値,URL
1,682,intel,Intel  Core Ultra 5 245KF BOX,32780,8657,0.264094,https://www.dospara.co.jp/SBR1887/IC512739.html
2,635,intel,Intel  Core Ultra 5 225F BOX,24850,6235,0.250905,https://www.dospara.co.jp/SBR1887/IC518589.html
3,673,intel,Intel  Core Ultra 7 265KF BOX,46980,11744,0.249979,https://www.dospara.co.jp/SBR1886/IC512737.html
4,674,intel,Intel  Core Ultra 5 245K BOX,34980,8657,0.247484,https://www.dospara.co.jp/SBR1887/IC512738.html
5,633,intel,Intel  Core Ultra 7 265K BOX,47780,11744,0.245793,https://www.dospara.co.jp/SBR1886/IC512736.html
6,1146,intel,Intel  Core Ultra 7 270K Plus BOX [並行輸入品],59800,13257,0.221689,https://www.dospara.co.jp/SBR1886/IC618207.html
7,675,intel,Intel  Core Ultra 5 225 BOX,28370,6091,0.214699,https://www.dospara.co.jp/SBR1887/IC518588.html
8,681,intel,Intel  Core Ultra 7 265F BOX,52380,9979,0.190512,https://www.dospara.co.jp/SBR1886/IC518586.html
9,683,intel,Intel  Core Ultra 5 235 BOX,43980,8004,0.181992,https://www.dospara.co.jp/SBR1887/IC518587.html
10,670,intel,Intel  Core Ultra 9 285K BOX,96999,13474,0.138909,https://www.dospara.co.jp/SBR1885/IC512735.html
